incident_number,Day and Month Reported,Year Reported,Police Shift,Offense Code,Offense Type,Offense Definition,Offense Sub-Category,Offense Category,Block Code,Ward,Source,Date,Time,Type,Description,latitude,longitude
22001397,1/10,2022,Day Shift (8AM - 4PM),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173514034000,1              ,March 28th 2022 - December 20th 2021 Crime News,1/10/22,3:37 PM,wearing a black hooded sweatshirt.,"Somerville Police responded to a multifamily residence in the area of Broadway & Macarthur St for report of a past breaking and entering. Upon arrival, officers spoke with the victim who stated his snow blower had been stolen from his basement.",42.388703271314874,-71.08784554466466
22001986,1/14,2022,Last Half (Midnight - 8AM),520,Weapon Law Violation,"The violation of laws or ordinances prohibiting the manufacture, sale, purchase, transportation, possession, concealment, or use of firearms, cutting instruments, explosives, incendiary devices, or other deadly weapons.",Weapon Law Violation,Crimes against Society,250173501071010,1              ,March 28th 2022 - December 20th 2021 Crime News,1/14/22,3:13 AM,Somerville Police Respond to Shooting,Somerville Police responded to the area of 771 for a report of shots fired. Officers located six .45 caliber casings near the intersection of McGrath Hwy & Mystic Ave. A witness reported seeing two vehicles flee onto the 93S ramp. One vehicle was believed to be a gray sedan. Home Invasion Where a Shot Was Fired,42.39122481635001,-71.0854768825444
22002280,1/16,2022,Last Half (Midnight - 8AM),13A,Aggravated Assault,"An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.",Assault Offenses,Crimes against Person,250173514042010,1              ,March 28th 2022 - December 20th 2021 Crime News,1/16/22,12:47 AM,loaded large capacity magazines.,"Somerville Police responded to Gilman St for report of an individual who brandished a firearm. Upon arrival, officers spoke with the victim who stated she exited her vehicle and was then approached by three men, one of whom brandished a firearm at her. The victim then walked to her apartment nearby and the man with the gun followed her and pointed it at her head. A witness stated that 10 minutes prior to police arrival, she observed the victim exchanging paperwork with a black man in his thirties wearing a red bandana and dark",42.384411018120204,-71.09013813375698
22002410,1/17,2022,Last Half (Midnight - 8AM),120,Robbery,"The taking of anything of value from the control, custody, or care of another person by force or threat of force and/or by putting the victim in fear of immediate harm.",Robbery,Crimes against Property,250173514033002,1              ,March 28th 2022 - December 20th 2021 Crime News,1/17/22,12:22 AM,Somerville Police Respond to Shooting,"Somerville Police arrested an individual at a multifamily residence on Perkins St following a home invasion that resulted in a gunshot being fired. Upon arrival, officers spoke with the victim who stated the defendant entered his apartment then pointed a firearm at him and threatened to kill him. The defendant then struck the victim with the firearm causing the firearm to discharge a round through a window. Officers recovered a loaded firearm and two Assault Log Jan 11 to Jan 17 2022 Somerville Police Respond to Assault with Firearm",42.38571518454517,-71.0823211729395
22002568,1/17,2022,First Half (4PM - Midnight),13B,Simple Assault,"An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Assault Offenses,Crimes against Person,250173501091018,4              ,March 28th 2022 - December 20th 2021 Crime News,1/17/22,7:27 PM,Somerville Police Respond to Assault,"Somerville Police responded to the area of 102 Fellsway for report of a fight. Upon arrival, officers spoke with a victim who stated he was engaged in a fight with man. During the fight, the man struck the victim several times and attempted to strangle him. Officers identified the suspect. Public Safety News Log Dec 28 2021 to Jan 10 2022 Somerville Police Respond to Breaking & Entering",42.39299957327896,-71.08795894276035
22002586,1/17,2022,First Half (4PM - Midnight),13A,Aggravated Assault,"An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.",Assault Offenses,Crimes against Person,250173501071004,1              ,March 28th 2022 - December 20th 2021 Crime News,1/17/22,10:44 PM,Somerville Police Respond to Assault,"Somerville Police responded to the area of Broadway & Indiana Ave for report of a fight. Upon arrival, officers located a victim unresponsive on the ground suffering from injuries to his face. A witness stated the victim and another man were involved in a fight and the other man struck the victim with a piece of metal. Officers identified the suspect.",42.38804004815908,-71.0824839256353
22002705,1/18,2022,Day Shift (8AM - 4PM),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173510013007,5              ,March 28th 2022 - December 20th 2021 Crime News,1/18/22,2:09 PM,• 1 Bike Theft,"Somerville Police responded to a residence on Carver St for report of a past breaking and entering. Upon arrival, officers spoke with the victim who stated he observed the lock on his shed was taken off and Somerville Police Respond to Commercial Breaking & Entering",42.387534117638154,-71.11353042519977
22002927,1/19,2022,First Half (4PM - Midnight),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173501061015,1              ,March 28th 2022 - December 20th 2021 Crime News,1/19/22,4:09 PM,two bikes were missing.,"Somerville Police responded to a business in Assembly Row for report of a past breaking and entering. Upon arrival, officers spoke with the reporting person stated that on 1/17/22 at approximately 9:05 PM, two individuals entered the back room of the business through an open door. Somerville Police Respond to Commercial Breaking & Entering",42.39458122149659,-71.08008094022223
22003358,1/22,2022,Last Half (Midnight - 8AM),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173512042007,2              ,March 28th 2022 - December 20th 2021 Crime News,1/22/22,3:34 AM,Nothing was reported missing.,"Somerville Police responded to a business in the area of Somerville Ave & Bow St for report of a breaking and entering that had just occurred. Upon arrival, officers spoke with the reporting person stated he heard an alarm at the business then observed six individuals fleeing the area in a white sedan. Officers then reviewed surveillance footage which revealed five individuals inside the business smashing display cases and stealing multiple pieces of jewelry. Detectives collected blood that was on a piece of broken glass. Shooting Log Jan 11 to Jan 17 2022",42.38107140503431,-71.09812182520128
22005148,2/1,2022,First Half (4PM - Midnight),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173515003001,2              ,March 28th 2022 - December 20th 2021 Crime News,2/1/22,9:05 PM,Residential Breaking and Entering,"Somerville Police responded to a multifamily residence on Rossmore St for a past breaking and entering. Upon arrival, officers spoke with the victim who stated his air compressor was missing from his Other Crime from Feb 1, 2022 - Feb 7, 2022: Break In Log Jan 18 2022 to Jan 24 2022 Somerville Police Respond to Breaking & Entering",42.37878364130337,-71.09079452854921
